Nume_actiune, Timestamp
removeBook,25-05-2021 18:38:23
printReader,25-05-2021 18:38:23
removeAllBooks,25-05-2021 18:38:23
printReader,25-05-2021 18:38:23
getReadersByAge,25-05-2021 18:38:23
sortReadersAlphabetically,25-05-2021 18:38:23
Table SECTIONS dropped,25-05-2021 18:38:23
Table SECTION created,25-05-2021 18:38:24
Row inserted in SECTIONS ,25-05-2021 18:38:24
Section displayed,25-05-2021 18:38:24
Row inserted in SECTIONS ,25-05-2021 18:38:24
Section displayed,25-05-2021 18:38:24
Row updated in SECTIONS ,25-05-2021 18:38:24
Section displayed,25-05-2021 18:38:24
Row inserted in SECTIONS ,25-05-2021 18:38:24
Row inserted in SECTIONS ,25-05-2021 18:38:24
Row inserted in SECTIONS ,25-05-2021 18:38:24
Row deleted in SECTIONS ,25-05-2021 18:38:24
All sections displayed,25-05-2021 18:38:24
changeSection,25-05-2021 18:42:27
displayBookAge,25-05-2021 18:42:27
calculateDaysAvailable,25-05-2021 18:42:27
getBooksByAuthor,25-05-2021 18:42:27
addBook,25-05-2021 18:42:27
sortBooks,25-05-2021 18:42:27
printReader,25-05-2021 18:42:27
removeBook,25-05-2021 18:42:27
printReader,25-05-2021 18:42:27
removeAllBooks,25-05-2021 18:42:27
printReader,25-05-2021 18:42:27
getReadersByAge,25-05-2021 18:42:27
sortReadersAlphabetically,25-05-2021 18:42:27
Table AUTHORS dropped,25-05-2021 18:42:27
Table SECTIONS dropped,25-05-2021 18:42:27
Table AUTHORS created,25-05-2021 18:42:27
Row inserted in AUTHORS ,25-05-2021 18:42:27
Author displayed,25-05-2021 18:42:27
Row updated in AUTHORS ,25-05-2021 18:42:27
Author displayed,25-05-2021 18:42:27
Row deleted in AUTHORS ,25-05-2021 18:42:27
All authors displayed,25-05-2021 18:42:27
Table SECTIONS created,25-05-2021 18:42:27
Row inserted in SECTIONS ,25-05-2021 18:42:27
Section displayed,25-05-2021 18:42:27
Row inserted in SECTIONS ,25-05-2021 18:42:27
Section displayed,25-05-2021 18:42:27
Row updated in SECTIONS ,25-05-2021 18:42:27
Section displayed,25-05-2021 18:42:27
Row inserted in SECTIONS ,25-05-2021 18:42:27
Row inserted in SECTIONS ,25-05-2021 18:42:27
Row inserted in SECTIONS ,25-05-2021 18:42:27
Row deleted in SECTIONS ,25-05-2021 18:42:27
All sections displayed,25-05-2021 18:42:27
changeSection,25-05-2021 18:43:12
displayBookAge,25-05-2021 18:43:12
calculateDaysAvailable,25-05-2021 18:43:12
getBooksByAuthor,25-05-2021 18:43:12
addBook,25-05-2021 18:43:12
sortBooks,25-05-2021 18:43:12
printReader,25-05-2021 18:43:12
removeBook,25-05-2021 18:43:12
printReader,25-05-2021 18:43:12
removeAllBooks,25-05-2021 18:43:12
printReader,25-05-2021 18:43:12
getReadersByAge,25-05-2021 18:43:12
sortReadersAlphabetically,25-05-2021 18:43:12
Table AUTHORS dropped,25-05-2021 18:43:12
Table SECTIONS dropped,25-05-2021 18:43:12
Table AUTHORS created,25-05-2021 18:43:12
Row inserted in AUTHORS ,25-05-2021 18:43:12
Author displayed,25-05-2021 18:43:12
Row updated in AUTHORS ,25-05-2021 18:43:12
Author displayed,25-05-2021 18:43:12
Inserted authors from CSV file,25-05-2021 18:43:12
Inserted authors from CSV file,25-05-2021 18:43:12
Inserted authors from CSV file,25-05-2021 18:43:12
Inserted authors from CSV file,25-05-2021 18:43:12
Inserted authors from CSV file,25-05-2021 18:43:12
Row deleted in AUTHORS ,25-05-2021 18:43:12
All authors displayed,25-05-2021 18:43:12
Table SECTIONS created,25-05-2021 18:43:12
Row inserted in SECTIONS ,25-05-2021 18:43:12
Section displayed,25-05-2021 18:43:12
Row inserted in SECTIONS ,25-05-2021 18:43:12
Section displayed,25-05-2021 18:43:12
Row updated in SECTIONS ,25-05-2021 18:43:12
Section displayed,25-05-2021 18:43:12
Row inserted in SECTIONS ,25-05-2021 18:43:12
Row inserted in SECTIONS ,25-05-2021 18:43:12
Row inserted in SECTIONS ,25-05-2021 18:43:12
Row deleted in SECTIONS ,25-05-2021 18:43:12
All sections displayed,25-05-2021 18:43:12
changeSection,25-05-2021 18:43:58
displayBookAge,25-05-2021 18:43:58
calculateDaysAvailable,25-05-2021 18:43:58
getBooksByAuthor,25-05-2021 18:43:58
addBook,25-05-2021 18:43:58
sortBooks,25-05-2021 18:43:58
printReader,25-05-2021 18:43:58
removeBook,25-05-2021 18:43:58
printReader,25-05-2021 18:43:58
removeAllBooks,25-05-2021 18:43:58
printReader,25-05-2021 18:43:58
getReadersByAge,25-05-2021 18:43:58
sortReadersAlphabetically,25-05-2021 18:43:58
Table AUTHORS dropped,25-05-2021 18:43:58
Table SECTIONS dropped,25-05-2021 18:43:58
Table AUTHORS created,25-05-2021 18:43:58
Row inserted in AUTHORS ,25-05-2021 18:43:58
Author displayed,25-05-2021 18:43:58
Row updated in AUTHORS ,25-05-2021 18:43:58
Author displayed,25-05-2021 18:43:58
Inserted authors from CSV file,25-05-2021 18:43:58
Row deleted in AUTHORS ,25-05-2021 18:43:58
All authors displayed,25-05-2021 18:43:58
Table SECTIONS created,25-05-2021 18:43:58
Row inserted in SECTIONS ,25-05-2021 18:43:58
Section displayed,25-05-2021 18:43:58
Row inserted in SECTIONS ,25-05-2021 18:43:58
Section displayed,25-05-2021 18:43:58
Row updated in SECTIONS ,25-05-2021 18:43:58
Section displayed,25-05-2021 18:43:58
Row inserted in SECTIONS ,25-05-2021 18:43:58
Row inserted in SECTIONS ,25-05-2021 18:43:58
Row inserted in SECTIONS ,25-05-2021 18:43:58
Row deleted in SECTIONS ,25-05-2021 18:43:58
All sections displayed,25-05-2021 18:43:58
changeSection,25-05-2021 18:47:23
displayBookAge,25-05-2021 18:47:23
calculateDaysAvailable,25-05-2021 18:47:23
getBooksByAuthor,25-05-2021 18:47:23
